一	1️⃣
一个	☝️
一二三四	🔢
一只眼	👁
一只眼睛	👁
一壶	🫖
一壶茶	🫖
一家三口	👨‍👩‍👦 👨‍👩‍👧
一家人	👨‍👩‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧‍👧
一家四口	👨‍👩‍👧‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧‍👧
一幅画	🖼
一支烟	🚬
一条蛇	🐍
一条龙	🐉
一杯	🥃
一杯奶	🥛
一杯奶茶	🧋
一杯酒	🥃
一滴	💧
一滴水	💧
一点	🤏 🕐
一点儿	🤏
一点半	🕜
一点点	🤏
一点钟	🕐
一百	💯
一百分	💯
一碗面	🍜
一箭穿心	💘
一脸不悦	🙁
一锅食物	🥘 🍲
七	7️⃣
七夕	🎋
七夕树	🎋
七夕节	🎋
七星瓢虫	🐞
七点	🕖
七点半	🕢
七点钟	🕖
万圣节	🎃
三	3️⃣
三不猴	🙈 🙉 🙊
三叉戟	🔱
三叉戟标志	🔱
三口之家	👨‍👩‍👦 👨‍👩‍👧
三叶草	☘
三明治	🥪
三点	🕒
三点半	🕞
三点式	👙
三点钟	🕒
三脚鸡	🛺
三角	🔺 🔻
三角尺	📐
三角形	🔺 🔻
三角旗	🚩
三角板	📐
三角裤	🩲
三蹦子	🛺
三轮摩托车	🛺
三轮车	🛺
上	⬆️
上一首	⏮️
上三角	🔼
上下	↕️
上下箭头	↕️
上升	📈
上弦月	🌓 🌛
上映	📽
上涨	📈
上班	💼
上箭头	⬆️
上衣	👕
上边	👆
上锁	🔒
上面	👆
下	⬇️
下一首	⏭️
下三角	🔽
下厨	👨‍🍳 👩‍🍳
下大雨	⛈️
下弦月	🌗 🌜
下水道	🕳
下箭头	⬇️
下跌	📉
下边	👇
下降	📉
下雨	🌧
下雪	🌨 ❄️
下面	👇
不	🙅‍♂️ 🙅‍♀️
不丹	🇧🇹
不丹王国	🇧🇹
不关心	🤷‍♂️ 🤷‍♀️
不准	🚫
不可以	🙅‍♂️ 🙅‍♀️
不同意	🙅‍♂️ 🙅‍♀️
不听	🙉
不好	👎
不好意思	🙇‍♂️ 🙇‍♀️
不屑	😕
不开心	🙁
不强	👎
不悦	🙁
不敢相信	🫢
不敢看	🫣
不明白	🤔
不明飞行物	🛸
不棒	👎
不死鸟	🐦‍🔥
不满	🙁
不理解	🤔
不看	🙈
不知道	🤷‍♂️ 🤷‍♀️
不确定	🫤
不能说	🤐
不舒服	😣
不行	🙅‍♂️ 🙅‍♀️
不要说	🤐
不许	🚫
不说	🤐 🙊
不错	👍
不高兴	🙁
与我无关	🤷‍♂️ 🤷‍♀️
丑小鸭	🦢
世界和平	☮️
世界地图	🗺
丘比特	💘
东京塔	🗼
东帝汶	🇹🇱
东正教	☦️
东正教十字架	☦️
东萨摩亚	🇦🇸
丝带	🎗
丢垃圾	🚮
两个	✌️
两个女人	👭
两个男人	👬
两点	🕑
两点半	🕝
两点钟	🕑
两颗心	💕
严禁	🚫 🈲
丧尸	🧟‍♂️ 🧟‍♀️
个人电脑	💻
中	🀄
中东蔬菜球	🧆
中国	🇨🇳
中国帽	👲
中国澳门	🇲🇴
中国香港	🇭🇰
中国龙	🐲
中指	🖕
中方块	◼ ◻
中正方形	◼ ◻
中秋	🎑
中秋佳节	🎑
中秋节	🎑
中等方块	◼ ◻
中等正方形	◼ ◻
中等浅肤色	🏼
中等深肤色	🏾
中等肤色	🏽
中等音量	🔉
中药	🌿
中非	🇨🇫
中非共和国	🇨🇫
丰收饼	🥮
串串	🍢
丹麦	🇩🇰
举中指	🖕
举双手	🙌
举手	🙋‍♂️ 🙋‍♀️
举白旗	🏳
举起拳头	✊
举起的手	✋
举起的拳头	✊
举重	🏋️‍♂️ 🏋️‍♀️
举重运动员	🏋️‍♂️ 🏋️‍♀️
举黑旗	🏴
么么	💋
么么哒	💋
义体	🦾 🦿
义肢	🦾 🦿
乌云蔽日	⛅
乌克兰	🇺🇦
乌兹别克斯坦	🇺🇿
乌干达	🇺🇬
乌干达共和国	🇺🇬
乌拉圭	🇺🇾
乌索普	🤥
乌贼	🦑
乌鸦	🐦‍⬛
乌龟	🐢
乍得	🇹🇩
乍得共和国	🇹🇩
乐谱	🎼
乒乓球	🏓
乒乓球拍	🏓
乖宝	👶
乖宝宝	👶
乘	✖️
乘雪橇	🛷
九	9️⃣
九点	🕘
九点半	🕤
九点钟	🕘
也门	🇾🇪
也门共和国	🇾🇪
书	📖 📚
书包	🎒
书呆子	🤓
书呆子脸	🤓
书本	📖 📚
书签	🔖
书签标签	📑
书籍	📖 📚
乱讲	🤥
乳液	🧴
乳液瓶	🧴
二	2️⃣
二头肌	💪
亏凸月	🌖
云	☁️
云中	😶‍🌫️
云中的脸	😶‍🌫️
云彩	☁️
云朵	☁️
五	5️⃣
五彩纸屑球	🎊
五星红旗	🇨🇳
五点	🕔
五点半	🕠
五点钟	🕔
五线谱	🎼
五菱	🚐
五菱宏光	🚐
五角星	⭐
井号	#️⃣
井号键	#️⃣
亚洲	🌏
亚洲地球仪	🌏
亚洲澳洲	🌏
亚澳地球仪	🌏
亚美尼亚	🇦🇲
交叉旗	🎌
交叉的手指	🤞
交叉箭头	🔀
交通信号灯	🚥 🚦
交通灯	🚥 🚦
亮度	🔅 🔆
亮度低	🔅
亮度高	🔆
亲	💋
亲一下	😘
亲一个	😘
亲亲	😘
亲亲猫	😽
亲亲猫脸	😽
亲亲的猫	😽
亲你	😘
亲吻	💋
亲嘴	💋
人字拖	🩴
人民币	¥
人物剪影	👤
人猿	🦧
人鱼	🧜‍♂️ 🧜‍♀️
仓鼠	🐹
仓鼠头	🐹
仓鼠脸	🐹
仙人掌	🌵
仙桃	🍑
以色列	🇮🇱
以色列国	🇮🇱
价钱	💲
企鹅	🐧
伊拉克	🇮🇶
