一	ggll
乙	nnll
二	fgg
十	fgh
丁	sgh
厂	dgt
七	agn
卜	hhy
八	wty
人	wwww
入	ty
儿	qtn
匕	xtn
几	wtn
九	vtn
刁	ng
了	bnh
刀	vnt
力	ent
乃	bnt
又	cccc
三	dggg
干	fggh
于	gf
亏	fn
工	aaaa
土	ffff
士	fghg
才	ft
下	gh
寸	fghy
大	dddd
丈	dy
与	gng
万	gq
上	hhgg
小	ihty
口	kkkk
山	mmmm
巾	mh
千	tf
乞	tn
川	kthh
亿	wn
个	wh
夕	qtny
久	qy
么	tc
勺	qy
凡	wy
丸	vy
及	by
广	oygt
亡	yn
门	uyhn
丫	uh
义	yr
之	pppp
尸	nngt
己	nngn
已	nnnn
巳	nngn
弓	xngn
子	bbbb
卫	bg
也	bnhn
女	vvvv
刃	vy
飞	nu
习	nu
叉	cy
马	cg
乡	xt
丰	dh
王	gggg
开	ga
井	fj
天	gd
夫	gggy
元	fq
无	fq
云	fc
专	fny
丐	ghn
扎	rn
艺	an
木	ssss
五	gghg
支	fc
厅	ds
不	dh
犬	dgty
太	dy
区	ar
历	de
歹	gq
友	dc
尤	dny
匹	aq
车	lgnh
巨	an
牙	aht
屯	gbn
戈	agny
比	xx
互	gx
切	av
瓦	gnny
止	hhgg
少	it
曰	jhng
日	jjjj
中	kh
贝	mhny
冈	mr
内	mw
水	iiii
见	mq
午	tf
牛	tg
手	rtgh
气	rtgn
毛	etgn
壬	tf
升	ta
夭	td
长	tay
仁	wf
什	wf
片	thgn
仆	wh
化	wx
仇	wv
币	tmh
仍	wb
仅	wc
斤	rtth
爪	rhy
反	rc
介	wj
父	wr
从	ww
仑	wx
今	wyn
凶	rb
分	wv
乏	tp
公	wc
仓	wb
月	eeee
氏	qa
勿	qr
欠	qw
风	wr
丹	my
匀	qu
乌	tnng
勾	qc
凤	wc
六	uygy
文	yygy
亢	yw
方	yygt
火	oooo
为	yey
斗	uf
忆	nn
计	yf
订	ys
户	yn
认	yw
冗	pw
讥	yw
心	nyny
尺	ny
引	xh
丑	nhgg
巴	cnhn
孔	bn
队	bw
办	ew
以	nyw
允	cq
予	cnh
邓	cb
劝	ce
双	cc
书	nnhy
幻	xn
玉	gy
刊	fj
未	fggy
末	gs
示	fi
击	gb
打	rs
巧	agn
正	gh
扑	rh
卉	fa
扒	rw
功	ae
扔	rb
去	fc
甘	fghg
世	an
艾	ar
古	dghg
节	ab
本	sg
术	sy
可	sk
丙	gmw
左	da
厉	dgq
石	dgtg
右	dk
布	dmh
夯	de
戊	dgty
龙	dxy
平	guf
灭	go
轧	ln
东	ai
卡	hh
北	ux
占	hk
凸	hghg
卢	hn
业	ohhg
旧	hj
帅	jmh
归	jv
旦	jg
目	hhhh
且	eg
叶	kf
甲	lhnh
申	jh
叮	ks
电	jn
号	kgn
田	llll
由	mhng
只	kw
叭	kw
史	kr
央	md
兄	kq
叽	kw
叼	kng
叫	knh
叩	kb
叨	kv
另	ke
叹	kc
冉	mf
皿	lhng
凹	hnhg
囚	lw
四	lhng
生	tg
矢	td
失	tg
乍	thf
禾	tttt
丘	rthg
付	wf
仗	wdy
代	way
仙	wm
们	wu
仪	wyr
白	rrrr
仔	wb
他	wb
斥	ry
瓜	rcy
乎	tuf
丛	wwg
令	wyc
用	etnh
甩	en
印	qgb
尔	qi
乐	tni
句	qk
匆	qry
册	mmg
卯	qtb
犯	qtb
外	qh
处	th
冬	tu
鸟	qg
务	te
包	qn
饥	qnw
主	yg
市	ymh
立	uuuu
冯	ucg
玄	yx
闪	uw
兰	ud
半	ug
汁	if
汇	ia
头	ud
汉	ic
宁	ps
穴	pw
它	px
讨	yf
写	pgng
让	yh
礼	pyn
训	yk
议	yyr
必	nt
讯	ynf
记	yn
永	yni
司	ngk
尼	nx
民	na
弗	xj
弘	xc
出	bm
辽	bp
奶	vb
奴	vc
召	vk
加	ek
皮	bnty
边	ep
孕	bb
发	ntcy
圣	cf
对	cf
台	ck
矛	cnht
纠	xnh
母	xnny
幼	xe
丝	xxg
邦	dtb
式	aay
迂	gfp
刑	gaj
戎	ad
动	fce
扛	ra
寺	ff
吉	fk
扣	rk
考	ftgn
托	rta
老	ftx
巩	awy
圾	fby
执	rvy
扩	ro
扫	rv
地	fb
场	fnr
扬	rnr
耳	bghg
芋	agf
